split,category,common_taxonomy_bucket,pii_detected,pii_categories,masked_text
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,I am still waiting on my card?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,What can I do if my card still hasn't arrived after 2 weeks?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,I have been waiting over a week. Is the card still coming?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,Can I track my card while it is in the process of delivery?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,"How do I know if I will get my card, or if it is lost?"
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,When did you send me my new card?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,Do you have info about the card on delivery?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,What do I do if I still have not received my new card?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,Does the package with my card have tracking?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,I ordered my card but it still isn't here
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,Why has my new card still not come?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,"I still haven't received my card after two weeks, is it lost?"
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,Can you track my card for me?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,Is there a way to track the delivery of my card?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,It's been a week since I ordered my card and it's not here. Please help?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,Will I be able to track the card that was sent to me?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,I don't have my card in 1 week.  Should I be worried?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,How do I know when my new card is going to arrive?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,My new card has not been delivered to my home yet. What is going on?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,"On the card that is coming, what's the tracking info?"
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,What is the status of my card's delivery?
train,card_arrival,CARD_ISSUANCE_AND_LIFECYCLE,False,,Have you sent out my card yet?
